category ID,cat_code,category1_ru,category2_ru,category3_ru,category4_ru,category5_ru,category6_ru,comm FBO %,comm FBS %,comm DBS%
"2627,""Sport va hordiqTabiat qoʻynida dam olish, baliq ovi va ovTurizm va ochiq havoda dam olishOsma qozonchalar va gulhan uchun uch oyoq"",Sport va hordiq,""Tabiat qoʻynida dam olish, baliq ovi va ov"",Turizm va ochiq havoda dam olish,Osma qozonchalar va gulhan uchun uch oyoq,,,25%,25%,25%"
"2628,""Sport va hordiqTabiat qoʻynida dam olish, baliq ovi va ovTurizm va ochiq havoda dam olishSayohat uchun idishlar"",Sport va hordiq,""Tabiat qoʻynida dam olish, baliq ovi va ov"",Turizm va ochiq havoda dam olish,Sayohat uchun idishlar,,,25%,25%,25%"
"2629,""Sport va hordiqTabiat qoʻynida dam olish, baliq ovi va ovTurizm va ochiq havoda dam olishSuvdonlar va ichimlik tizimlari"",Sport va hordiq,""Tabiat qoʻynida dam olish, baliq ovi va ov"",Turizm va ochiq havoda dam olish,Suvdonlar va ichimlik tizimlari,Suvdonlar,,25%,25%,25%"
2631,Goʻzallik va parvarishMakiyajMakiyaj uchun aksessuarlarSponj va aplikatorlar,Goʻzallik va parvarish,Makiyaj,Makiyaj uchun aksessuarlar,Sponj va aplikatorlar,,,30%,30%,30%
2632,Goʻzallik va parvarishMakiyajMakiyaj uchun aksessuarlarPinsetlar,Goʻzallik va parvarish,Makiyaj,Makiyaj uchun aksessuarlar,Pinsetlar,,,30%,30%,30%
2633,Goʻzallik va parvarishMakiyajYuzKushonlar,Goʻzallik va parvarish,Makiyaj,Yuz,Kushonlar,,,20%,20%,20%
2634,Goʻzallik va parvarishYuz parvarishiNamlash va oziqlantirishKunduzgi kremlar,Goʻzallik va parvarish,Yuz parvarishi,Namlash va oziqlantirish,Kunduzgi kremlar,,,20%,20%,20%
2635,Goʻzallik va parvarishYuz parvarishiNamlash va oziqlantirishTungi kremlar,Goʻzallik va parvarish,Yuz parvarishi,Namlash va oziqlantirish,Tungi kremlar,,,20%,20%,20%
2636,Goʻzallik va parvarishYuz parvarishiNamlash va oziqlantirishKoʻz uchun kremlar,Goʻzallik va parvarish,Yuz parvarishi,Namlash va oziqlantirish,Koʻz uchun kremlar,,,20%,20%,20%
2638,Qurilish va taʼmirlashMateriallar va jihozlarUskunalarAdapterlar,Qurilish va taʼmirlash,Materiallar va jihozlar,Uskunalar,Adapterlar,,,25%,25%,25%
2639,Qurilish va taʼmirlashMateriallar va jihozlarUskunalarPurkagichlar va havo cho'tkalari uchun uskunalar,Qurilish va taʼmirlash,Materiallar va jihozlar,Uskunalar,Purkagichlar va havo cho'tkalari uchun uskunalar,Purkagichlar uchun havo filtrlari,,25%,25%,25%
2641,Qurilish va taʼmirlashAsboblarSlesarlik asboblariPlashkalar va metchiklar,Qurilish va taʼmirlash,Asboblar,Slesarlik asboblari,Plashkalar va metchiklar,Metchiklar,,25%,25%,25%
2642,Qurilish va taʼmirlashMateriallar va jihozlarUskunalarQo'llanmalar va tirgaklar,Qurilish va taʼmirlash,Materiallar va jihozlar,Uskunalar,Qo'llanmalar va tirgaklar,,,25%,25%,25%
2645,Qurilish va taʼmirlashYoritishPatronlar va perexodniklar,Qurilish va taʼmirlash,Yoritish,Patronlar va perexodniklar,,,,25%,25%,25%
"2646,KiyimAyollar kiyimiIchki kiyimOchiq ichki kiyimlar va kostyumlar,Kiyim,Ayollar kiyimi,Ichki kiyim,Ochiq ichki kiyimlar va kostyumlar,""Portupeilar, garterlar"",,25%,25%,25%"
2650,SalomatlikOptikaLinza uchun aksessuarlar,Salomatlik,Optika,Linza uchun aksessuarlar,,,,35%,35%,35%
"2651,""SalomatlikOptikaSalfetkalar, koʻzoynak uchun spreylar"",Salomatlik,Optika,""Salfetkalar, koʻzoynak uchun spreylar"",,,,35%,35%,35%"
2652,SalomatlikOrtopedik buyumlarKompressli trikotajKompressiv paypoqlar,Salomatlik,Ortopedik buyumlar,Kompressli trikotaj,Kompressiv paypoqlar,,,30%,30%,30%
2653,SalomatlikOrtopedik buyumlarKompressli trikotajKompressli kolgotkilar,Salomatlik,Ortopedik buyumlar,Kompressli trikotaj,Kompressli kolgotkilar,,,30%,30%,30%
"2654,""SalomatlikOrtopedik buyumlarKompressli trikotajKompressli golflar, getrlar, paypoqlar"",Salomatlik,Ortopedik buyumlar,Kompressli trikotaj,""Kompressli golflar, getrlar, paypoqlar"",,,30%,30%,30%"
2655,SalomatlikTibbiy jihozlarTibbiy va laboratoriya analizatorlari,Salomatlik,Tibbiy jihozlar,Tibbiy va laboratoriya analizatorlari,,,,22%,22%,22%
"2656,""SalomatlikOrtopedik buyumlarOrtopedik tagliklar va yarim tagliklar, oyoq tuzatuvchisi"",Salomatlik,Ortopedik buyumlar,""Ortopedik tagliklar va yarim tagliklar, oyoq tuzatuvchisi"",,,,35%,35%,35%"
"2658,""SalomatlikTibbiy jihozlarKvars lampalar, resirkulyatorlar va nurlantiruvchilar"",Salomatlik,Tibbiy jihozlar,""Kvars lampalar, resirkulyatorlar va nurlantiruvchilar"",,,,20%,20%,20%"
2659,SalomatlikTibbiy jihozlarTibbiyot bilaguzuklari va puls oʻlchagichlari,Salomatlik,Tibbiy jihozlar,Tibbiyot bilaguzuklari va puls oʻlchagichlari,,,,20%,20%,20%
